Easting,Northing,Depth
352519.7,4386561,14.6
352580.6,4386561,66
352708.5,4386562,71.7
352572.4,4386562,62
352555,4386562,52.6
352711.1,4386563,70.9
352654.9,4386563,81.4
352517,4386563,14.2
352755.3,4386563,38.7
352715.3,4386564,69.2
352737.6,4386564,55.6
352564.9,4386564,60.2
352554.7,4386565,55.7
352595.8,4386565,77.1
352562.3,4386565,58.1
352720.8,4386566,69.4
352723.1,4386566,69.6
352511.8,4386567,13.7
352558.5,4386567,56.6
352737.4,4386567,58.6
352554.5,4386568,57.7
352728.1,4386568,68.3
352656,4386568,81
352510.9,4386568,14
352552.8,4386569,55.8
352753.6,4386569,46.6
352595.5,4386569,78.1
352737.2,4386570,63.4
352549.1,4386571,55.2
352554.5,4386571,59.6
352734.8,4386571,66.5
352510,4386571,15.7
352656.8,4386571,81.5
352753,4386572,51.4
352595.2,4386572,78.1
352545.6,4386573,53.2
352595,4386574,78.7
352740.8,4386574,65.1
352509.1,4386575,17.5
352657.8,4386575,82.3
352736.8,4386575,65.9
352554.4,4386576,62.6
352744.7,4386576,63.3
352540.5,4386576,51.9
352594.9,4386576,78.4
352508.6,4386577,19.6
352538.7,4386577,50.3
352749.8,4386578,57.6
352658.8,4386578,81.6
352554.6,4386579,64.6
352535.4,4386579,48.3
352736.6,4386579,70.3
352751.3,4386580,60.9
352554.7,4386581,67
352507.8,4386581,22.1
352594.8,4386581,78.3
352754.1,4386581,53.6
352659.8,4386581,80.6
352532.1,4386581,47.4
352736.4,4386582,73.4
352750.8,4386583,66.3
352528.8,4386583,47.7
352507.1,4386584,25.3
352554.3,4386584,69.7
352759.6,4386584,51.3
352526.3,4386585,47.4
352761.4,4386585,48.1
352750.3,4386586,72
352736.2,4386586,76.7
352594.8,4386586,78.4
352764.9,4386587,45.9
352554,4386587,71.3
352662.1,4386587,76.6
352506.2,4386588,29
352594.9,4386588,78.4
352522.6,4386588,47.7
352735.8,4386589,79
352553.8,4386590,74.1
352768.9,4386590,45.4
352735.6,4386591,81.8
352663.4,4386591,74.2
352505.6,4386591,32.4
352595.1,4386591,78.7
352494.7,4386592,22.7
352771.5,4386592,44.3
352515.9,4386593,46.5
352490.3,4386593,18.4
352735.1,4386594,84.7
352488.9,4386594,16
352749.2,4386594,78.8
352496.6,4386594,26.8
352505.1,4386594,35.6
352664.9,4386595,70.6
352734.9,4386595,85.2
352595.4,4386595,78.2
352774.8,4386595,42.8
352496.7,4386596,28.2
352483.4,4386596,11.5
352665.4,4386596,67.6
352512.9,4386596,45.1
352778.9,4386597,40.4
352510.6,4386597,43.7
352504.6,4386597,38
352481.2,4386598,10.5
352495.8,4386599,29.6
352553.5,4386599,76.1
352595.9,4386599,78.1
352506.7,4386600,42.4
352782.3,4386600,39.1
352748.1,4386600,81.6
352734.1,4386601,86.1
352478.2,4386601,10.5
352667,4386601,61.5
352553.5,4386601,76.1
352494.9,4386601,30.1
352504.3,4386601,42.6
352596.2,4386602,77.8
352477.7,4386602,11.1
352494.4,4386603,31.4
352667.6,4386603,56.2
352809.5,4386603,10.2
352807.4,4386604,12.5
352810.9,4386604,8.7
352553.4,4386604,76.2
352733.4,4386604,87
352596.5,4386605,75.4
352499.9,4386605,40.6
352493.5,4386605,32.8
352805.7,4386606,15.2
352503.8,4386607,45.1
352746.8,4386607,85.1
352792.6,4386607,31.6
352553.4,4386607,76.3
352813.9,4386607,8.7
352492.8,4386608,34.2
352597,4386608,72.1
352805.1,4386608,18.1
352475.7,4386608,12.2
352553.4,4386609,75.6
352746.4,4386609,87
352731.5,4386610,87.1
352815.4,4386610,11
352474.8,4386611,13.8
352799.3,4386611,26.1
352670.2,4386611,49.9
352804.8,4386611,20.3
352597.5,4386611,68.6
352492.3,4386611,35.9
352503.6,4386612,47.5
352817.2,4386612,13.7
352745.9,4386612,87.6
352553.5,4386613,75.9
352729.9,4386613,87.2
352490,4386613,33.4
352818.7,4386613,16.1
352804.9,4386613,23.3
352491.6,4386614,37
352487.8,4386614,30.6
352473.5,4386614,15.1
352671.3,4386614,40.4
352831.5,4386615,14.9
352598.1,4386615,63.6
352825.5,4386615,16.8
352833.9,4386615,13.6
352828.4,4386615,16.3
352821.3,4386615,16.9
352840.1,4386616,10.3
352804.9,4386616,27.1
352671.9,4386616,36
352503.5,4386616,50
352727.9,4386617,85.8
352845.1,4386617,9.6
352807.2,4386617,25.3
352805,4386617,29.5
352484.7,4386617,29.4
352847.6,4386618,8.6
352598.6,4386618,60
352491.2,4386618,39.4
352470.8,4386618,14.9
352744.7,4386619,87.8
352727,4386619,83.5
352553.8,4386619,75.6
352810.5,4386619,25.5
352851.3,4386620,7.7
352490.8,4386621,41.2
352480.9,4386621,28
352599.1,4386621,55.7
352853.8,4386621,7.4
352468,4386622,14.8
352725.8,4386622,79.4
352503.6,4386622,54.9
352479,4386623,27.3
352553.9,4386623,75.1
352490.6,4386623,43.2
352743.8,4386623,87.4
352805.3,4386623,32.5
352856.3,4386623,7.6
352817.2,4386624,31.6
352724.7,4386624,70.1
352857.2,4386624,8.9
352805.6,4386625,35.4
352503.8,4386625,56.8
352859.5,4386625,12.2
352554,4386625,74.9
352859.6,4386625,10
352464.8,4386626,14
352599.6,4386626,52.6
352742.9,4386626,86.9
352673.5,4386626,23.4
352859.8,4386626,9.8
352475.6,4386627,26.7
352490.4,4386627,45.8
352822.8,4386627,37.5
352859,4386627,11.1
352504,4386627,60
352722.3,4386628,62.9
352859.4,4386628,15.4
352673.7,4386628,19.7
352667.5,4386628,20.2
352661.3,4386628,20
352554.2,4386628,74.7
352681.7,4386629,18.7
352742.1,4386629,83.1
352658.8,4386629,20.6
352859.2,4386629,15.4
352675.1,4386629,18.3
352806,4386629,40.2
352722.1,4386629,56.7
352600,4386629,49.3
352864.9,4386629,13.3
352858.6,4386629,14.2
352684.1,4386630,20
352870.1,4386630,11.8
352860,4386630,17.6
352490.5,4386630,49
352461.2,4386630,13.2
352858.2,4386630,17.2
352649.7,4386630,20.7
352827.2,4386630,40.3
352652.4,4386630,20.4
352867.2,4386630,12.1
352873.7,4386631,11.9
352504.4,4386631,61.7
352688.3,4386631,19.5
352858.7,4386631,17.5
352859.4,4386631,20.6
352554.4,4386631,74.1
352877.2,4386632,11.9
352830.4,4386632,40.9
352458.9,4386632,13
352856.7,4386632,21.5
352741.3,4386633,79.2
352832,4386633,42
352718.7,4386633,49.6
352639.9,4386633,21.6
352600.3,4386633,45.1
352855.3,4386634,26.1
352554.8,4386634,74.1
352694.7,4386634,19.9
352879.6,4386634,11.3
352635.6,4386634,22.4
352504.8,4386634,64.9
352859.5,4386634,24
352883.1,4386635,10.1
352490.8,4386635,50.2
352470.2,4386635,26.9
352807,4386635,46.5
352632.5,4386635,22.1
352554.8,4386636,73.6
352715.8,4386636,42.2
352669.7,4386636,11
352674.2,4386636,11.6
352885.9,4386636,9.2
352671.3,4386636,11.9
352887.2,4386636,8.6
352852.3,4386637,30.6
352628.1,4386637,23.3
352670,4386637,10.5
352674.1,4386637,13.9
352740.6,4386637,73.5
352713.9,4386637,37
352703.1,4386637,25
352491,4386637,52.1
352677.4,4386638,10.7
352623.7,4386638,25
352600.6,4386638,36.8
352670.9,4386638,9.7
352468.3,4386638,26.9
352859.7,4386638,28.2
352889.8,4386638,8.2
352838.9,4386639,40.4
352892.4,4386639,8.7
352453.8,4386639,13.1
352554.9,4386639,73.2
352706.3,4386639,27.1
352490.9,4386640,53.5
352505.3,4386640,66.5
352849.5,4386640,41.5
352673.8,4386640,8.9
352680,4386640,9.5
352671.3,4386640,8.7
352808.7,4386641,54.9
352615.1,4386641,26.9
352671.6,4386641,7.3
352859.9,4386641,32.8
352711.6,4386641,28.8
352682.2,4386642,8.5
352843.1,4386642,40.8
352600.6,4386642,33.6
352895.3,4386642,9.4
352673.2,4386642,7.6
352466,4386642,27.1
352490.8,4386642,55.4
352846.8,4386642,43.6
352451.4,4386643,12.7
352715.8,4386643,29.7
352671.7,4386643,6
352554.7,4386643,71.8
352847.2,4386643,47.1
352860.2,4386644,35.9
352671.4,4386644,5.1
352809.4,4386644,59.6
352899,4386644,11.2
352739.6,4386644,69
352850.3,4386644,43.6
352685.1,4386644,7.9
352706.3,4386644,21.1
352672.2,4386645,5.5
352719.6,4386645,30.5
352671.1,4386645,4.4
352604.8,4386646,26.9
352671.4,4386646,4.5
352687.8,4386646,7.5
352704.1,4386646,15.5
352844.7,4386646,53.6
352860.4,4386646,39.3
352505.5,4386646,69.3
352690.4,4386647,7.5
352855.5,4386647,43.4
352900.4,4386647,13.5
352505.5,4386647,69.6
352698.7,4386647,9.9
352722.9,4386647,32.1
352809.8,4386647,64.2
352602.9,4386647,27.1
352701.3,4386647,12.5
352600.6,4386647,29.6
352695.4,4386647,8.4
352842.5,4386648,58.9
352449.5,4386648,12.4
352739,4386648,62.5
352490.4,4386648,57.4
352900.4,4386648,15.9
352554.6,4386649,70.7
352599.1,4386649,26.1
352461.9,4386649,26.5
352810.1,4386649,68.3
352727.7,4386649,32.3
352860.7,4386650,44.7
352860.8,4386650,43.6
352490.5,4386650,58.1
352600.5,4386650,25.5
352738.3,4386651,45.5
352448.1,4386652,12.3
352839.4,4386652,65.2
352505.9,4386652,70
352864,4386652,47.3
352731.6,4386652,32.7
352554.6,4386652,68.2
352838.5,4386653,72.1
352734,4386653,32.6
352459.7,4386653,26.1
352861,4386653,49.1
352898.9,4386653,20.4
352898.6,4386654,24.6
352600.6,4386654,20.8
352554.7,4386654,62.9
352152,4386654,2
352490.4,4386654,59.9
352151.8,4386655,2
352152,4386655,2
352506.2,4386655,70.5
352810.8,4386655,71.6
352600.7,4386655,17.1
352837.1,4386655,77.3
352446.7,4386656,12.7
352154.8,4386656,2
352590.2,4386656,25.6
352870.4,4386656,51.6
352155.3,4386656,2.2
352897.9,4386656,29.3
352860.9,4386656,55
352457.7,4386656,25.1
352153.3,4386657,2.2
352153.4,4386657,2.4
352150.7,4386657,2.1
352490.1,4386658,61
352154.6,4386658,2.5
352154.4,4386658,2.3
352154.3,4386658,2.4
352873.9,4386658,54.2
352154.1,4386658,2.4
352810.9,4386658,82.4
352154.7,4386658,2.3
352155.8,4386658,2.2
352736.8,4386658,39.2
352739.8,4386658,34.9
352601,4386659,13
352147.4,4386659,2.4
352834.5,4386659,82
352455.7,4386659,24.6
352587.5,4386659,25.9
352445.3,4386659,12.1
352896.7,4386659,35.4
352554.9,4386660,57.7
352833,4386660,86.4
352155.6,4386660,2.4
352506.7,4386660,70.5
352860.6,4386660,60.7
352743.1,4386660,36
352601,4386661,10.2
352811,4386661,87.5
352145.5,4386661,2.9
352736.7,4386661,27
352444.4,4386661,12.8
352583.8,4386662,25.9
352144.1,4386662,4
352745.1,4386662,32.6
352454.3,4386662,24.1
352443.7,4386662,12.5
352154.9,4386662,2.5
352879.1,4386662,55.5
352154.2,4386663,2.8
352555,4386663,54.4
352882.1,4386663,54.9
352507,4386663,70.6
352860.4,4386663,67.3
352489.7,4386663,63
352600.7,4386664,7.6
352894.7,4386664,40.3
352830.5,4386664,89.6
352142.1,4386664,3.6
352581.2,4386665,25.9
352829.2,4386665,91.8
352894.3,4386665,47.2
352886.4,4386665,53.4
352152.4,4386665,2.9
352141.1,4386666,3.5
352489.4,4386666,63.8
352890.1,4386666,52.2
352452.4,4386666,23.6
352860.2,4386666,73.8
352738.3,4386666,18.3
352150.3,4386667,3
352811.3,4386667,92.1
352893.4,4386667,52.9
